epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,146.756,0.98249,0.47557,0.79738,0.91932,0.6787,0.75354,0.50092,0.87464,0.46429,0.79384,0.000742625,0.000742625,0.000742625
43,149.383,0.97226,0.46477,0.79507,0.89864,0.66557,0.74631,0.49181,0.91305,0.47242,0.79484,0.00073025,0.00073025,0.00073025
44,152.008,0.98938,0.46742,0.79713,0.84179,0.67749,0.74542,0.48739,0.90499,0.4609,0.7952,0.000717875,0.000717875,0.000717875
45,154.775,0.98197,0.46885,0.79687,0.84616,0.69361,0.76125,0.48933,0.92273,0.46077,0.7966,0.0007055,0.0007055,0.0007055
46,157.396,0.96128,0.4629,0.79292,0.91532,0.69243,0.78053,0.5098,0.88206,0.44865,0.79355,0.000693125,0.000693125,0.000693125
47,160.149,0.92817,0.44939,0.793,0.80788,0.73296,0.76682,0.49876,0.92134,0.47212,0.79694,0.00068075,0.00068075,0.00068075
48,162.809,0.9802,0.46808,0.79319,0.85742,0.67934,0.75923,0.50123,0.86874,0.46339,0.79106,0.000668375,0.000668375,0.000668375
49,165.434,0.94421,0.45421,0.78847,0.84118,0.69399,0.76188,0.50857,0.8731,0.44461,0.79239,0.000656,0.000656,0.000656
50,169.087,0.95137,0.45865,0.79289,0.89325,0.71024,0.78314,0.52907,0.8673,0.44677,0.79217,0.000643625,0.000643625,0.000643625
51,171.871,0.93478,0.44891,0.79331,0.89888,0.71218,0.7843,0.52226,0.85785,0.44509,0.79146,0.00063125,0.00063125,0.00063125
52,174.49,0.92166,0.44595,0.78789,0.93013,0.71632,0.79284,0.50803,0.87667,0.43885,0.79164,0.000618875,0.000618875,0.000618875
53,177.164,0.99952,0.47338,0.79538,0.92169,0.69125,0.77731,0.52154,0.87137,0.43759,0.7932,0.0006065,0.0006065,0.0006065
54,179.927,0.96846,0.4579,0.78829,0.91874,0.7265,0.79425,0.52064,0.88851,0.44025,0.79122,0.000594125,0.000594125,0.000594125
55,182.502,0.92825,0.44664,0.786,0.88778,0.73256,0.78468,0.51507,0.8727,0.44451,0.79154,0.00058175,0.00058175,0.00058175
56,185.133,0.985,0.4615,0.79216,0.90447,0.72868,0.7906,0.51671,0.87214,0.44599,0.79226,0.000569375,0.000569375,0.000569375
57,187.76,0.94346,0.44773,0.79019,0.88262,0.72108,0.7816,0.51386,0.84128,0.43874,0.78982,0.000557,0.000557,0.000557
58,190.462,0.95667,0.44958,0.7903,0.89141,0.73593,0.78876,0.52161,0.86593,0.45719,0.79288,0.000544625,0.000544625,0.000544625
59,193.231,0.9072,0.43917,0.78671,0.86443,0.74296,0.78888,0.51701,0.90054,0.44879,0.79146,0.00053225,0.00053225,0.00053225
60,195.867,0.91519,0.44747,0.78801,0.91283,0.70651,0.77914,0.51463,0.87458,0.45188,0.7905,0.000519875,0.000519875,0.000519875
61,198.474,0.91557,0.43771,0.78969,0.90879,0.71893,0.77377,0.51643,0.86632,0.44375,0.79163,0.0005075,0.0005075,0.0005075
62,201.125,0.93981,0.4535,0.7875,0.91812,0.68807,0.77855,0.50823,0.88129,0.45262,0.79154,0.000495125,0.000495125,0.000495125
63,203.857,0.90839,0.44121,0.78797,0.86753,0.74659,0.79787,0.53997,0.85518,0.43297,0.78993,0.00048275,0.00048275,0.00048275
64,206.647,0.89038,0.42438,0.78913,0.85464,0.7472,0.79606,0.52723,0.86566,0.44856,0.79071,0.000470375,0.000470375,0.000470375
65,209.515,0.91533,0.43746,0.78649,0.85664,0.74106,0.79414,0.52462,0.86496,0.44006,0.79015,0.000458,0.000458,0.000458
66,212.264,0.9119,0.43617,0.78753,0.93028,0.71478,0.79159,0.52718,0.87498,0.44206,0.78929,0.000445625,0.000445625,0.000445625
67,214.944,0.90606,0.42972,0.7868,0.89785,0.7248,0.79983,0.53898,0.85656,0.42862,0.78908,0.00043325,0.00043325,0.00043325
68,218.539,0.88941,0.41864,0.78965,0.8436,0.74063,0.79236,0.53415,0.8612,0.4284,0.79108,0.000420875,0.000420875,0.000420875
69,221.182,0.90645,0.42871,0.78612,0.87179,0.74353,0.79613,0.5355,0.8336,0.42399,0.78902,0.0004085,0.0004085,0.0004085
70,223.824,0.91678,0.43093,0.78754,0.91547,0.75833,0.81139,0.54328,0.82584,0.41325,0.78716,0.000396125,0.000396125,0.000396125
71,226.598,0.8728,0.41656,0.78909,0.91967,0.72986,0.79695,0.53743,0.84091,0.42326,0.78949,0.00038375,0.00038375,0.00038375
72,229.309,0.88321,0.41659,0.78321,0.90122,0.74688,0.79973,0.54183,0.8337,0.43076,0.78825,0.000371375,0.000371375,0.000371375
73,231.91,0.90913,0.43319,0.78426,0.94698,0.70539,0.7888,0.53555,0.84178,0.41628,0.78766,0.000359,0.000359,0.000359
74,235.502,0.8934,0.41937,0.78579,0.89755,0.74963,0.79649,0.54222,0.83277,0.42191,0.78872,0.000346625,0.000346625,0.000346625
75,238.118,0.85857,0.41111,0.78696,0.92353,0.74559,0.80931,0.54905,0.83674,0.41872,0.78882,0.00033425,0.00033425,0.00033425
76,240.832,0.85927,0.41183,0.78684,0.90851,0.75253,0.80644,0.54693,0.84569,0.42878,0.78822,0.000321875,0.000321875,0.000321875
77,243.552,0.90158,0.42586,0.78357,0.89576,0.74817,0.81225,0.54515,0.84379,0.4201,0.78928,0.0003095,0.0003095,0.0003095
78,246.227,0.90554,0.42138,0.78518,0.88912,0.75331,0.80792,0.53857,0.82039,0.41105,0.78757,0.000297125,0.000297125,0.000297125
